A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
b,31.5,1,l,g,ff,h,1.25,t,f,0,t,s,229,5,
a,55.8,4.46,u,p,j,v,3.04,t,t,5,f,s,70,275,
b,22.3,0.5,y,p,m,,1.5,t,t,1,f,g,307,560,
b,30.23,1.54,u,gg,q,bb,3.75,f,t,6,t,g,127,0,
a,26.15,5.625,,p,w,dd,1.71,t,t,0,t,s,147,1,
b,32.6,4,y,g,i,ff,2.5,t,f,0,f,g,333,5,
,37.15,1.04,u,,r,j,6.5,t,f,0,f,g,137,28500,
b,21.85,11.585,y,g,cc,n,0.04,f,t,1,t,g,53,1235,
a,55.4,0.5,u,g,k,o,3.96,t,f,0,t,p,153,450,
a,40.75,4.915,y,p,x,z,3.165,t,f,0,t,g,25,1375,
b,48.25,10.33,u,gg,e,h,5.2,f,f,0,f,p,174,86,
b,33.33,11.64,l,p,,h,3.3,t,t,1,f,s,52,9059,
a,41.67,11.475,u,p,c,v,1.75,t,f,1,f,g,334,300,
a,38.53,4.81,y,g,aa,v,2.1,f,t,3,t,g,148,16321,
a,53.77,9.23,y,p,d,h,0.5,f,f,4,t,p,154,42983,
